year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,pct_cultivated
2000,KSGS.371852100505801,239.39,72.966072,37.31502,-100.8505,USGS,Southern Kansas,
2000,KSGS.372043101363101,227.26,69.268848,37.34495,-101.6104,USGS,Southern Kansas,
2000,KSGS.372539100142504,65.97,20.107656,37.42949,-100.2434,USGS,Southern Kansas,
2000,KSGS.373331098033301,20.15,6.14172,37.56096,-98.058,USGS,Southern Kansas,
2000,KSGS.373607100565301,380.865,116.087652,37.59874,-100.9497,USGS,Southern Kansas,
2000,KSGS.374111099070401,32.2,9.81456,37.68448,-99.1192,USGS,Southern Kansas,
2000,KSGS.374125100344101,152.38,46.445424,37.69024,-100.5795,USGS,Southern Kansas,
2000,KSGS.374747100552101,158.37,48.271176,37.79492,-100.9225,USGS,Southern Kansas,
2000,KSGS.375145100485701,126.71,38.621208,37.86209,-100.8179,USGS,Southern Kansas,
2000,KSGS.375454101075401,123.72,37.709856,37.91572,-101.1306,USGS,Southern Kansas,
2000,TWDB.0753701,247.89,75.556872,35.16,-102.4886,USGS,Western Texas,
2000,TWDB.1005225,274.57,83.688936,34.97,-102.4381,USGS,Western Texas,
2000,TWDB.1038101,268.55,81.85404,34.46,-102.3522,USGS,Western Texas,
2000,TWDB.1039702,239.93,73.130664,34.38,-102.2336,USGS,Western Texas,
2000,TWDB.1157901,220.07,67.077336,34.03,-101.9056,USGS,Western Texas,
2000,TWDB.2409103,165.34,50.395632,33.8575,-102.9786,USGS,Western Texas,
2000,TWDB.2409801,123.52,37.648896,33.76,-102.9564,USGS,Western Texas,
2000,TWDB.2423701,110.77,33.762696,33.65222,-102.2278,USGS,Western Texas,
2000,TWDB.2453902,143.7,43.79976,33.13833,-102.3808,USGS,Western Texas,
2000,UNLCSD.423037099353801,26.48,8.071104,42.51028,-99.5943,USGS,Central Nebraska,
2000,USGS.335258091152301,28.27,8.616696,33.88238,-91.2582,USGS,Eastern Arkansas,
2000,USGS.340440091231201,43.38,13.222224,34.07647,-91.3878,USGS,Eastern Arkansas,
2000,USGS.342649091251916,98.89,30.141672,34.46473,-91.4209,USGS,Eastern Arkansas,
2000,USGS.345519091505401,85.3,25.99944,34.92182,-91.8482,USGS,Eastern Arkansas,
2000,USGS.350029090265801,20.88,6.364224,35.0071,-90.4491,USGS,Eastern Arkansas,
2000,USGS.373644113411501,197.39,60.164472,37.6122,-113.6883,USGS,Western Utah,
2000,USGS.381901113014102,62.53,19.059144,38.31691,-113.0288,USGS,Western Utah,
2000,USGS.383921112175901,78.21,23.838408,38.65806,-112.1672,USGS,Western Utah,
2000,USGS.390819111530701,21.53,6.562344,39.13857,-111.886,USGS,Western Utah,
2000,USGS.392601112412201,12.47,3.800856,39.43356,-112.6902,USGS,Western Utah,
2000,USGS.400932101404101,66.285,20.203668,40.15888,-101.6785,USGS,Central Nebraska,
2000,USGS.402103099402900,103.255,31.472124,40.35123,-99.674,USGS,Central Nebraska,
2000,USGS.402408099584800,94.48,28.797504,40.402,-99.9818,USGS,Central Nebraska,
