site_id,gw_trend_m_per_yr,region,mean_et,mean_precip,et_precip_ratio
KSGS.371852100505801,0.6167014441558493,Southern Kansas,777.0842380952381,551.8382,1.4081740698785787
KSGS.372043101363101,0.21330062337662634,Southern Kansas,539.5648571428571,511.47003,1.054929563143891
KSGS.372539100142504,1.0479716727272819,Southern Kansas,825.8930952380953,605.3369,1.364352769593072
KSGS.373331098033301,0.06335881558441657,Southern Kansas,842.846,928.1595,0.9080831621562883
KSGS.373607100565301,0.5956148259740324,Southern Kansas,628.9594285714286,523.9862,1.2003358510276991
KSGS.374111099070401,0.1761724207792213,Southern Kansas,783.7018095238096,737.7849,1.0622361567182979
KSGS.374125100344101,1.6907612259740374,Southern Kansas,729.8463333333333,576.21246,1.2666271205824307
KSGS.374747100552101,1.912738753246771,Southern Kansas,867.5765714285715,526.28046,1.6485061541663713
KSGS.375145100485701,1.2174622441558551,Southern Kansas,877.8928095238095,531.41736,1.6519836916309334
KSGS.375454101075401,1.5411978451948165,Southern Kansas,925.517380952381,532.6992,1.7374108096575485
TWDB.0753701,0.16461179220779523,Western Texas,603.942619047619,507.4433,1.1901676916878858
TWDB.1005225,0.41476154805195337,Western Texas,797.6854761904763,533.5949,1.4949270724618395
TWDB.1038101,1.2352237714285812,Western Texas,939.5445714285715,576.47266,1.6298163689851015
TWDB.1039702,1.4391824727272844,Western Texas,841.636380952381,525.93756,1.600259124478318
TWDB.1157901,0.6354644571428608,Western Texas,828.891380952381,510.17966,1.6247048850498176
TWDB.2409103,-0.05905994805194934,Western Texas,544.842,482.6761,1.1287942687083539
TWDB.2409801,0.14153803636363899,Western Texas,518.9673333333334,489.03354,1.061210105522215
TWDB.2423701,0.09446820779220837,Western Texas,637.759,534.49725,1.1931941575409408
TWDB.2453902,0.12357462857142885,Western Texas,712.4896666666666,517.8064,1.3759769510459616
UNLCSD.423037099353801,0.05058294545454278,Central Nebraska,659.7622380952381,678.1208,0.9729273150325027
USGS.335258091152301,0.055480659207791924,Eastern Arkansas,859.4249523809524,1405.8584,0.6113168675708271
USGS.340440091231201,-0.07676209870130012,Eastern Arkansas,858.9443809523809,1444.211,0.5947498984033106
USGS.342649091251916,0.033792697233766524,Eastern Arkansas,801.2967619047619,1343.7239,0.5963254621341484
USGS.345519091505401,0.31891784780519616,Eastern Arkansas,917.0936190476191,1416.8706,0.6472670231903165
USGS.350029090265801,-0.04994167792208054,Eastern Arkansas,835.1939047619047,1404.1595,0.5947998624526063
USGS.373644113411501,1.0568484779220835,Western Utah,995.3616666666667,361.29434,2.754988248760533
USGS.381901113014102,0.45664977662337813,Western Utah,968.2248095238095,269.6783,3.5902953945844303
USGS.383921112175901,0.05907578181818132,Western Utah,429.4655714285714,290.1147,1.4803303436426642
USGS.390819111530701,0.03097084675324618,Western Utah,962.2350952380951,295.1719,3.259914230491668
USGS.392601112412201,0.20932634805194808,Western Utah,471.2231428571428,235.4459,2.001407234786892
USGS.400932101404101,0.46393330909090935,Central Nebraska,681.059,522.2361,1.3041209155903077
USGS.402103099402900,0.1345157610389603,Central Nebraska,692.1917142857143,691.0645,1.0016311069407577
USGS.402408099584800,0.000108857142855871,Central Nebraska,690.4644285714286,650.5773,1.0613104082663107
USGS.403235101395501,0.19035684137662298,Central Nebraska,730.2570476190476,549.83923,1.3281283023502826
USGS.403949098182201,0.17308285714285804,Central Nebraska,716.7177142857142,757.97626,0.9455674994568379
USGS.412603099492001,0.039204405194802894,Central Nebraska,675.4612380952381,697.6142,0.9682446848351967
USGS.415754112551301,0.054567116883118556,Southern Idaho,532.4891904761904,319.95804,1.6642469533047295
USGS.433218112191601,0.14173595844155884,Southern Idaho,540.7489047619048,297.0161,1.820604608915139
USGS.434102112180701,0.15567427285714283,Southern Idaho,605.4767142857143,292.1819,2.072259595325015
USGS.434657112282201,0.1943454736883117,Southern Idaho,381.72028571428575,259.53677,1.4707753367641105
USSCS.352158090232301,0.025084644145454253,Eastern Arkansas,831.3894761904762,1393.1199,0.59678243938345
USSCS.355018090512401,0.18658312207792263,Eastern Arkansas,838.6143333333334,1332.219,0.629486846398177
amargosa,0.3129148051948064,Southwest US,67.96414285714286,122.1752,0.5562842710258353
butler_valley,1.411575777940044,Southwest US,906.1183333333333,170.96635,5.299980435751233
cuyama,0.4274766526315976,Southwest US,185.98284210526316,264.8536,0.7022099645426249
hualapai_valley,2.2590946996467975,Southwest US,274.5532,272.82227,1.006344549522139
mcmullen_valley,0.4048525042686474,Southwest US,322.7436,226.78438,1.4231297709859976
san_simon_valley,2.3303152549574864,Southwest US,655.7603636363636,301.69232,2.1736064072599457
southern_willcox,0.3938212921348265,Southwest US,366.1646666666667,355.45618,1.0301260481855414
willcox,2.2095839757411344,Southwest US,746.2773333333333,333.1445,2.2401010123013716
