site_id,gw_trend_m_per_yr,region,mean_et,mean_precip,et_precip_ratio
KSGS.371852100505801,0.6167014441558493,Southern Kansas,706.2484285714286,549.9321,1.284246530523818
KSGS.372043101363101,0.21330062337662634,Southern Kansas,597.8633809523809,511.8118,1.1681312997802116
KSGS.372539100142504,1.0479716727272819,Southern Kansas,759.4991904761905,605.33093,1.254684255424461
KSGS.373331098033301,0.06335881558441657,Southern Kansas,796.2866666666666,930.5627,0.8557044905446918
KSGS.373607100565301,0.5956148259740324,Southern Kansas,657.4221428571428,523.9862,1.2546554379878634
KSGS.374111099070401,0.1761724207792213,Southern Kansas,774.0965238095238,737.9137,1.0490339557355057
KSGS.374125100344101,1.6907612259740374,Southern Kansas,717.7522857142858,581.6961,1.2338956344454277
KSGS.374747100552101,1.912738753246771,Southern Kansas,823.2621428571429,526.7621,1.562872815567568
KSGS.375145100485701,1.2174622441558551,Southern Kansas,739.5477142857143,534.08856,1.384691167135475
KSGS.375454101075401,1.5411978451948165,Southern Kansas,872.3784761904762,531.14545,1.6424474340945965
TWDB.0753701,0.16461179220779523,Western Texas,614.2919523809524,506.7046,1.2123275863168685
TWDB.1005225,0.41476154805195337,Western Texas,744.2054285714286,529.9773,1.4042213425032357
TWDB.1038101,1.2352237714285812,Western Texas,865.3341428571429,574.56165,1.5060771104766975
TWDB.1039702,1.4391824727272844,Western Texas,892.1386666666667,527.16675,1.6923272758989323
TWDB.1157901,0.6354644571428608,Western Texas,747.9791904761905,515.0428,1.4522661249203979
TWDB.2409103,-0.05905994805194934,Western Texas,519.9778571428571,482.62817,1.0773881122987097
TWDB.2409801,0.14153803636363899,Western Texas,526.4142857142857,482.61142,1.0907621830950476
TWDB.2423701,0.09446820779220837,Western Texas,612.9032380952382,535.961,1.1435594003488576
TWDB.2453902,0.12357462857142885,Western Texas,619.6928095238096,517.9616,1.1964068357416429
UNLCSD.423037099353801,0.05058294545454278,Central Nebraska,672.588,685.1712,0.981634949707572
USGS.335258091152301,0.055480659207791924,Eastern Arkansas,835.4064761904762,1409.5125,0.5926918031095897
USGS.340440091231201,-0.07676209870130012,Eastern Arkansas,958.5667142857144,1434.343,0.6682967062538816
USGS.342649091251916,0.033792697233766524,Eastern Arkansas,914.3238095238095,1358.8403,0.6728706735963901
USGS.345519091505401,0.31891784780519616,Eastern Arkansas,967.3528571428571,1411.8474,0.6851681342090506
USGS.350029090265801,-0.04994167792208054,Eastern Arkansas,820.6102857142856,1405.264,0.5839545192033884
USGS.373644113411501,1.0568484779220835,Western Utah,542.115,362.39102,1.4959393790007418
USGS.381901113014102,0.45664977662337813,Western Utah,631.0349047619047,271.76712,2.321969279885337
USGS.383921112175901,0.05907578181818132,Western Utah,455.8804761904762,308.8968,1.4758342968000693
USGS.390819111530701,0.03097084675324618,Western Utah,524.3863809523809,308.35413,1.7005979060330092
USGS.392601112412201,0.20932634805194808,Western Utah,497.98966666666666,235.8343,2.1116082627113113
USGS.400932101404101,0.46393330909090935,Central Nebraska,641.9857142857143,520.73975,1.2328340963052513
USGS.402103099402900,0.1345157610389603,Central Nebraska,682.8909047619048,691.67694,0.9872974858112179
USGS.402408099584800,0.000108857142855871,Central Nebraska,646.4326666666666,653.795,0.9887391056280079
USGS.403235101395501,0.19035684137662298,Central Nebraska,692.4698095238095,544.55493,1.2716252654944273
USGS.403949098182201,0.17308285714285804,Central Nebraska,713.7182857142858,765.20874,0.9327105771108701
USGS.412603099492001,0.039204405194802894,Central Nebraska,693.909380952381,697.9368,0.994229495427398
USGS.415754112551301,0.054567116883118556,Southern Idaho,496.26671428571433,325.9972,1.522303645188936
USGS.433218112191601,0.14173595844155884,Southern Idaho,514.9667619047619,298.14575,1.7272315923713912
USGS.434102112180701,0.15567427285714283,Southern Idaho,471.6865238095238,292.83173,1.6107767082927824
USGS.434657112282201,0.1943454736883117,Southern Idaho,374.0482857142857,260.43195,1.4362611490082553
USSCS.352158090232301,0.025084644145454253,Eastern Arkansas,797.7860952380953,1387.776,0.574866617290328
USSCS.355018090512401,0.18658312207792263,Eastern Arkansas,814.4119047619048,1323.7189,0.6152453681408611
amargosa,0.3129148051948064,Southwest US,124.74995238095237,119.582825,1.0432096138101787
butler_valley,1.411575777940044,Southwest US,196.80091666666667,171.74725,1.1458751901419153
cuyama,0.4274766526315976,Southwest US,339.1206842105263,273.16187,1.2414642282500088
hualapai_valley,2.2590946996467975,Southwest US,187.0532,268.68903,0.6961698543069705
mcmullen_valley,0.4048525042686474,Southwest US,294.3725,231.6677,1.2706670265529416
san_simon_valley,2.3303152549574864,Southwest US,436.2887272727272,316.23447,1.379636862574475
southern_willcox,0.3938212921348265,Southwest US,328.6824444444444,365.22668,0.899940936219208
willcox,2.2095839757411344,Southwest US,480.873,334.1451,1.439114277147502
