year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation
2012,KSGS.371852100505801,263.27,80.244696,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,628.919,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2013,KSGS.371852100505801,266.14,81.119472,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,680.083,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2014,KSGS.371852100505801,269.79,82.231992,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,726.046,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2015,KSGS.371852100505801,271.88,82.869024,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,813.394,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2016,KSGS.371852100505801,272.95,83.19516,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,797.603,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2017,KSGS.371852100505801,273.12,83.246976,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,641.808,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2018,KSGS.371852100505801,274.94,83.801712,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,716.205,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2019,KSGS.371852100505801,276.45,84.26196,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,809.603,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2020,KSGS.371852100505801,276.24,84.197952,37.31502,-100.8505,USGS,Southern Kansas,10,2.1,837.635,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2000,KSGS.372043101363101,227.26,69.268848,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,583.545,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2001,KSGS.372043101363101,228.25,69.5706,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,604.011,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2002,KSGS.372043101363101,230.64,70.299072,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,527.524,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2003,KSGS.372043101363101,229.63,69.991224,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,696.003,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2004,KSGS.372043101363101,231.16,70.457568,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,562.65,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2005,KSGS.372043101363101,229.91,70.076568,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,704.41,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2006,KSGS.372043101363101,229.29,69.887592,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,553.369,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2007,KSGS.372043101363101,231.51,70.564248,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,625.215,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2008,KSGS.372043101363101,232.78,70.951344,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,495.303,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2009,KSGS.372043101363101,233.46,71.158608,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,590.131,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2010,KSGS.372043101363101,233.45,71.15556,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,581.697,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2011,KSGS.372043101363101,236.4,72.05472,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,429.087,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2012,KSGS.372043101363101,237.36,72.347328,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,568.999,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2013,KSGS.372043101363101,238.36,72.652128,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,601.019,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2014,KSGS.372043101363101,239.88,73.115424,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,568.184,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2015,KSGS.372043101363101,239.29,72.935592,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,643.228,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2016,KSGS.372043101363101,240.05,73.16724,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,738.847,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2017,KSGS.372043101363101,241.06,73.475088,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,620.947,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2018,KSGS.372043101363101,239.585,73.025508,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,701.663,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2019,KSGS.372043101363101,240.12,73.188576,37.34495,-101.6104,USGS,Southern Kansas,10,2.0,656.537,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2020,KSGS.372043101363101,237.78,72.475344,37.34495,-101.6104,USGS,Southern Kansas,10,2.1,502.762,597.8633809523809,511.8118,1.1681312997802116,1.920372873039577
2000,KSGS.372539100142504,65.97,20.107656,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,779.676,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2001,KSGS.372539100142504,68.68,20.933664,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,766.573,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2002,KSGS.372539100142504,74.66,22.756368,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,710.421,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2003,KSGS.372539100142504,77.68,23.676864,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,789.928,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2004,KSGS.372539100142504,79.49,24.228552,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,732.398,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2005,KSGS.372539100142504,79.03,24.088344,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,824.759,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2006,KSGS.372539100142504,76.73,23.387304,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,733.337,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2007,KSGS.372539100142504,75.9,23.13432,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,797.487,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2008,KSGS.372539100142504,83.14,25.341072,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,707.228,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2009,KSGS.372539100142504,89.28,27.212544,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,724.124,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2010,KSGS.372539100142504,94.36,28.760928,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,774.032,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2011,KSGS.372539100142504,99.13,30.214824,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,661.348,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2012,KSGS.372539100142504,110.94,33.814512,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,647.6,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2013,KSGS.372539100142504,115.61,35.237928,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,704.811,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2014,KSGS.372539100142504,119.38,36.387024,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,794.784,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2015,KSGS.372539100142504,122.245,37.260276,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,816.187,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2016,KSGS.372539100142504,122.55,37.35324,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,812.994,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2017,KSGS.372539100142504,122.4,37.30752,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,736.763,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2018,KSGS.372539100142504,123.6,37.67328,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,755.822,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2019,KSGS.372539100142504,124.62,37.984176,37.42949,-100.2434,USGS,Southern Kansas,10,2.0,797.17,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2020,KSGS.372539100142504,126.95,38.69436,37.42949,-100.2434,USGS,Southern Kansas,10,2.1,882.041,759.4991904761905,605.33093,1.254684255424461,1.9576433436584808
2000,KSGS.373331098033301,20.15,6.14172,37.56096,-98.058,USGS,Southern Kansas,10,2.0,781.355,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2001,KSGS.373331098033301,18.86,5.748528,37.56096,-98.058,USGS,Southern Kansas,10,2.0,733.067,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2002,KSGS.373331098033301,19.22,5.858256,37.56096,-98.058,USGS,Southern Kansas,10,2.0,754.155,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2003,KSGS.373331098033301,19.44,5.925312,37.56096,-98.058,USGS,Southern Kansas,10,2.0,798.341,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2004,KSGS.373331098033301,19.24,5.864352,37.56096,-98.058,USGS,Southern Kansas,10,2.0,775.487,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2005,KSGS.373331098033301,19.4,5.91312,37.56096,-98.058,USGS,Southern Kansas,10,2.0,817.014,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2006,KSGS.373331098033301,19.34,5.894832,37.56096,-98.058,USGS,Southern Kansas,10,2.0,779.053,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2007,KSGS.373331098033301,19.57,5.964936,37.56096,-98.058,USGS,Southern Kansas,10,2.0,801.199,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2008,KSGS.373331098033301,18.51,5.641848,37.56096,-98.058,USGS,Southern Kansas,10,2.0,809.301,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2009,KSGS.373331098033301,18.34,5.590032,37.56096,-98.058,USGS,Southern Kansas,10,2.0,750.425,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2010,KSGS.373331098033301,18.71,5.702808,37.56096,-98.058,USGS,Southern Kansas,10,2.0,819.242,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2011,KSGS.373331098033301,19.29,5.879592,37.56096,-98.058,USGS,Southern Kansas,10,2.0,655.792,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2012,KSGS.373331098033301,21.65,6.59892,37.56096,-98.058,USGS,Southern Kansas,10,2.0,781.395,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2013,KSGS.373331098033301,22.8,6.94944,37.56096,-98.058,USGS,Southern Kansas,10,2.0,890.592,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2014,KSGS.373331098033301,22.08,6.729984,37.56096,-98.058,USGS,Southern Kansas,10,2.0,790.367,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2015,KSGS.373331098033301,23.65,7.20852,37.56096,-98.058,USGS,Southern Kansas,10,2.0,848.71,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2016,KSGS.373331098033301,23.14,7.053072,37.56096,-98.058,USGS,Southern Kansas,10,2.0,890.401,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2017,KSGS.373331098033301,22.4,6.82752,37.56096,-98.058,USGS,Southern Kansas,10,2.0,810.42,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2018,KSGS.373331098033301,22.82,6.955536,37.56096,-98.058,USGS,Southern Kansas,10,2.0,808.2,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2019,KSGS.373331098033301,21.65,6.59892,37.56096,-98.058,USGS,Southern Kansas,10,2.0,778.331,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2020,KSGS.373331098033301,21.44,6.534912,37.56096,-98.058,USGS,Southern Kansas,10,2.1,849.173,796.2866666666666,930.5627,0.8557044905446918,1.9510198920353157
2000,KSGS.373607100565301,380.865,116.087652,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,683.591,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2001,KSGS.373607100565301,382.68,116.640864,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,654.678,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2002,KSGS.373607100565301,385.21,117.412008,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,623.743,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2003,KSGS.373607100565301,389.05,118.58244,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,656.711,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2004,KSGS.373607100565301,390.1,118.90248,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,634.957,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2005,KSGS.373607100565301,391.29,119.265192,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,721.762,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2006,KSGS.373607100565301,390.58,119.048784,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,547.205,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2007,KSGS.373607100565301,393.6,119.96928,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,716.989,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2008,KSGS.373607100565301,393.69,119.996712,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,568.051,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2009,KSGS.373607100565301,396.49,120.850152,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,661.579,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2010,KSGS.373607100565301,398.76,121.542048,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,591.999,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2011,KSGS.373607100565301,401.25,122.301,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,468.123,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2012,KSGS.373607100565301,406.43,123.879864,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,585.279,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2013,KSGS.373607100565301,408.64,124.553472,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,593.878,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2014,KSGS.373607100565301,409.71,124.879608,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,648.819,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2015,KSGS.373607100565301,413.2,125.94336,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,760.505,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2016,KSGS.373607100565301,412.59,125.757432,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,751.994,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
